feature,mean_importance
smoking_history_former,-3.2653059990997434e-05
smoking_history_current,-3.064530595304482e-05
smoking_history_never,-2.1847615736980686e-05
gender_Other,0.0
smoking_history_ever,1.2615559950676647e-05
smoking_history_not current,5.375289287396501e-05
gender_Female,8.952333940304703e-05
gender_Male,0.0006437622547647182
heart_disease,0.0014024850298658743
smoking_history_No Info,0.0017893341015841862
hypertension,0.001968899274027694
bmi,0.008566757127679694
age,0.024934862979094915
blood_glucose_level,0.24322218657473554
HbA1c_level,0.4595506200709628
